,0,1,2
0,"['36c0d437746f3baf6b38332535e7d51a80727a8f', 0.008898716208949846]","['3702716b87037af80b705846e55726fb0a1a0e08', 0.09744596343007524]","['a18b1cfdf73330fc30a936cec5e98a03490b13d7', 0.0844029167949627]"
1,"['773eb83d5f174e22901b3ea01e80b0e3dab28855', 0.031585173945831685]","['dfb51fafe529ce8c0bad4651c003c2b9c6488092', 0.010243171407347642]","['ea4f95c917eaf487ecebbafdce75a4d8311a5293', 0.023907662426497826]"
2,"['1ec5df67068fb9eb4d8224f1fa09941b5030368b', 0.04180931685337903]","['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.10371814370107359]","['41a4e4ce1364dffefa504f5096111cdb31595fce', 0.08850910724967884]"
3,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
4,"['8cb38014f0ca76bb449bcf53bbefade21d7f3460', 0.2600896243751066]","['903d26c502a4a7bbc2e5019b94872702c1fd0841', 0.2938127880907475]","['e244f16389218b4ca5d27c158b4f555efe69dcd0', 0.33760937605827035]"
5,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
6,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
7,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
8,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
9,"['560e1f513ba95dd8b2ff4fe80ba00953bf8333ab', 0.1496896520152111]","['c3dd7ff8d3e322eac7cd6f8a3c1900e35743ba61', 0.08862677062041172]","['c631a60d39b26bd3fc85c32589c850a25faeadd8', 0.15069132206563787]"
10,"['e5ab93a3e2c8cd58b2c817f540c6959c6d27e2b6', 0.016350071657890826]","['f4eafbd6551003cf8a3e82eb20179ce8b56a86d8', 0.02854978219803539]","['f72d2a95d559f9c093a7adeac520ff346b1e93cd', 0.0084118073711516]"
11,"['b850faae59f2b433c47f7c086f387650e67f59e6', 0.07434029134722417]","['bfa548cbb5aa5fb405436e29efdd596a9058dc86', 0.07272686217529274]","['c3dd7ff8d3e322eac7cd6f8a3c1900e35743ba61', 0.08979135583756985]"
12,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
13,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.022830469005037764]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03729316253014517]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.023236943851790065]"
14,"['48f8d371cfa10d45a3f7c215190adb48adb4b895', 0.09615775027868292]","['b7a6c2d5b1b917519fa668ab8bfd3bcdc41d27fe', 0.019160959093179154]","['e3b6306a931d4796e20d02cb3d82d46d32ca9c07', 0.05018189014595889]"
15,"['48f8d371cfa10d45a3f7c215190adb48adb4b895', 0.09615775027868292]","['b7a6c2d5b1b917519fa668ab8bfd3bcdc41d27fe', 0.019160959093179154]","['e3b6306a931d4796e20d02cb3d82d46d32ca9c07', 0.05018189014595889]"
16,"['1475d8d71b8b147ac679916a57519376cb49d993', 0.2412994732172241]","['77bc8951c77d36f3561f09e53ec7eb51a8722254', 0.0014977324139392035]","['8bddc74ac232d2f2c467b510dfef130d3d6329a2', 0.023597005459436694]"
17,"['1c59e601aa0f2cfd1cb27a204d150075acc19683', 0.05298116057841038]","['3fa37d966f48653630d4dbcdc2d68471156131ef', 0.05859502986285123]","['e6e6ef2625e8e116774d885b16ed945351bc1f07', 0.12515286755392097]"
18,"['8169a801bef347e90a790ebacbd7165c7ee631ac', 0.00983274337788145]","['8c5ad6a9f17b735de831ffd3325d11a623c6d683', 0.02310714165040887]","['d6e4da942493084f29c9e695cf3db7fb0266901d', 0.017420672550901243]"
19,"['3ea469208a9f4d88e7768ee177129cea1137b5c3', 0.013552854659748977]","['7180d802b3fb07bd3b739b5f376325d058d9c447', 0.02073090467882958]","['e77da3a709fcb3713c20a4c1c98d317203a8c25f', 0.026176625576965137]"
20,"['13ec89164eed9cac501e7867b3d7842b9e8ad657', 0.19815551167120915]","['7ef7468c4322250cdcca7680f3c7d1c63bbb297d', 0.16498974975329533]","['d3a4c20180e5c64806b030ccc5dd71d23cd5d32d', 0.04070922991588703]"
21,"['06214c8b20985dbaa17df6f188180ca5e4682f24', 0.17309593433605064]","['2560901ef263805b41561cc9c3570ee2ed9727aa', 0.14884269423397922]","['fabdce600d972991550639c494284665abee55f9', 0.21533704786499555]"
