CHAR,DIALOG,NAME,_ID,RUNTIMEINMINUTES,ACADEMYAWARDNOMINATIONS,ACADEMYAWARDWINS,RELEASE_YEAR,DL_LEN
GANDALF,"Sauron fears you, Aragorn.He fears what you may become.And so he'll strike hard and fastat the world of Men.He will use his puppet Sarumanto destroy Rohan.War is coming.Rohan must defend itselfand therein lies our first challenge......for Rohan is weak and ready to fall.    ,The king's mind is enslavedit's an old device of Saruman's.His hold over King Theodenis now very strong.Sauron and Sarumanare tightening the noose.But for all their cunning......we have one advantage. The Ring remains hidden.And that we should seek to destroy it......has not yet enteredtheir darkest dreams. And so the weapon of the enemyis moving towards Mordor......in the hands of a Hobbit.Each day brings it closerto the fires of Mount Doom. We must trust now in Frodo.Everything depends upon speed......and the secrecy of his quest.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,814
DENETHOR,"It's dangerous,     I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But     you, you are strong.    And our need is great. It is our blood which is being spilled, our people     who are dying. Sauron is biding his time. He's massing fresh armies. He will     return. And when he does, we will be powerless to stop him. You must go.    ,Bring me back this     mighty gift    .",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,396
SAM,"I know. It's all wrong.      ,By rights, we shouldn't even be here.      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.      ,Full of darkness and danger they were.      And sometimes you didn't want to know the end.....because how could the end be happy?      How could the world go back      to the way it was...... when so much bad had happened?",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,387
EOMER,"Theoden no longer recognizesfriend from foe. Not even his own kin. ,Saruman has poisoned the mindof the king......and claimed lordship over these lands.    My company are those loyal to Rohan.And for that, we are banished.The White Wizard is cunning.He walks here and there, they say......as an old man hooded and cloaked.And everywhere, his spiesslip past our nets.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,366
SAM VOICEOVER,"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.      A new day will come. And when the sun shines, it will shine out the clearer.      Those were the stories      that stayed with you......that meant something. Even if you were too small      to understand why. But I think, Mr. Frodo, I do understand. I know now.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,352
GRIMA,"Oh, but you are alone. Who knows what you've spoken to the     darkness ,......in     the bitter watches of the night......when all your life seems to shrink. The     walls of your bower closing in about you. A hutch to trammel some wild thing     in.    ,So fair. So cold. Like a morning of pale spring......still clinging     to winter's chill.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,346
GANDALF,"There is no way out of that ravine. Theoden is walking into a trap. He     thinks he's leading them to safety. What they will get is a massacre.     Theoden has a strong will, but I fear for him. I fear for the survival of     Rohan. , He will need     you before the end,    Aragorn. The people of Rohan will need you. ,The defenses , to hold.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,344
FARAMIR,"The enemy? ,His sense of duty was no lessthan yours, I deem.,You wonder what his name is......where he came from.,And if he was really evil at heart.,What lies or threats led himon this long march from home.,If he would not rather have stayed there......in peace.,War will make corpses of us all.,Bind their hands.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,314
BOROMIR,"This city was once the jewel of our kingdom. A place of light and beauty     and music. And so it shall be once more! ,Let the armies of Mordor know this:     Never again will the land of my people fall into enemy hands.    ,This city of Osgiliath has been     reclaimed ,for     Gondor!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,287
GOLLUM,"A swamp, yes, yes.Come, master. We will take youon safe paths through the mist.Come, Hobbits! Come! We go quickly. ,I found it. I did.The way through the marshes.Orcs don't use it.Orcs don't know it.They go around for miles and miles.Come quickly.Soft and quick as shadows we must be.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,284
