iter	RMSE
0	6.95741859
1	6.809673482
2	6.671932516
3	6.54094738
4	6.435795789
5	6.315396005
6	6.208719021
7	6.115595634
8	6.039232546
9	5.952434541
10	5.871941629
11	5.813945225
12	5.739880455
13	5.677138496
14	5.60561565
15	5.545014724
16	5.488383589
17	5.43593872
18	5.375617694
19	5.327953051
20	5.280869643
21	5.244281607
22	5.199462045
23	5.159716681
24	5.12519391
25	5.089725222
26	5.046384489
27	5.000541225
28	4.962637809
29	4.92688282
30	4.891534494
31	4.859713677
32	4.836370557
33	4.805919161
34	4.782319135
35	4.75977978
36	4.739194597
37	4.714961932
38	4.687098004
39	4.665726936
40	4.646400406
41	4.622068925
42	4.596295432
43	4.584293014
44	4.567813377
45	4.553964086
46	4.536766755
47	4.508984851
48	4.489450363
49	4.468826161
50	4.45317833
51	4.434097016
52	4.419499755
53	4.409464757
54	4.395887143
55	4.374903489
56	4.365890612
57	4.352566068
58	4.335999971
59	4.318967745
60	4.309376903
61	4.30172191
62	4.288665788
63	4.277467513
64	4.259914023
65	4.248676013
66	4.240211351
67	4.224080141
68	4.212254662
69	4.204736373
70	4.197581986
71	4.189073055
72	4.174440678
73	4.164675227
74	4.15640599
75	4.144159821
76	4.140592628
77	4.128795531
78	4.119309016
79	4.110737386
80	4.105402157
81	4.10073114
82	4.092154376
83	4.0890344
84	4.079537989
85	4.071707172
86	4.067681629
87	4.057730969
88	4.050454084
89	4.044628465
90	4.036218451
91	4.032134998
92	4.019166396
93	4.015494464
94	4.008531141
95	4.004021982
96	3.997101613
97	3.989023246
98	3.983546695
99	3.981275239
100	3.969573183
101	3.961800514
102	3.955851951
103	3.949890606
104	3.942485009
105	3.939384449
106	3.92991415
107	3.921814051
108	3.918041842
109	3.911230648
110	3.908146536
111	3.903992808
112	3.89902093
113	3.895383253
114	3.891223554
115	3.882856264
116	3.874894616
117	3.872627259
118	3.865661509
119	3.863420236
120	3.860061295
121	3.856053945
122	3.848980032
123	3.846238472
124	3.842921331
125	3.83789976
126	3.831425653
127	3.829016
128	3.823226887
129	3.818025992
130	3.813085316
131	3.808322949
132	3.800506054
133	3.794602912
134	3.790265784
135	3.785198626
136	3.783036596
137	3.778539494
138	3.776969474
139	3.77379818
140	3.770019268
141	3.765076686
142	3.755259319
143	3.749846465
144	3.746979671
145	3.74096396
146	3.736126508
147	3.727610878
148	3.722340106
149	3.719935895
150	3.712814189
151	3.709680361
152	3.703368602
153	3.700263922
154	3.694944925
155	3.688917526
156	3.6862674
157	3.682036895
158	3.676661277
159	3.67428281
160	3.670786562
161	3.665820483
162	3.660515681
163	3.656065533
164	3.653517362
165	3.648889321
166	3.646024436
167	3.641959755
168	3.638231668
169	3.635486105
170	3.632927997
171	3.629426331
172	3.626640572
173	3.620430018
174	3.615836109
175	3.613044206
176	3.606554245
177	3.603958255
178	3.596640348
179	3.594481713
180	3.59077122
181	3.588906219
182	3.587281699
183	3.579186941
184	3.573954563
185	3.572009051
186	3.567924185
187	3.559845199
188	3.55502656
189	3.553148494
190	3.54938469
191	3.546570453
192	3.544466586
193	3.54105647
194	3.537988706
195	3.534174178
196	3.531453417
197	3.526939462
198	3.522858893
199	3.520371463
200	3.516230426
201	3.513775795
202	3.509418606
203	3.505021143
204	3.501414545
205	3.493322115
206	3.491114156
207	3.487979067
208	3.481765772
209	3.479153806
210	3.474133833
211	3.469496997
212	3.467306025
213	3.46393359
214	3.459506787
215	3.455321275
216	3.451712328
217	3.445499842
218	3.442093459
219	3.440614333
220	3.43744832
221	3.434270697
222	3.432572361
223	3.430420363
224	3.426823058
225	3.423639532
226	3.419933585
227	3.415097549
228	3.412632001
229	3.406566968
230	3.403562841
231	3.400366775
232	3.396072357
233	3.3922436
234	3.390991167
235	3.387356981
236	3.384978185
237	3.383111137
238	3.382495478
239	3.379795362
240	3.375031571
241	3.372323291
242	3.369880006
243	3.366666815
244	3.362817959
245	3.359871954
246	3.356917231
247	3.353896154
248	3.3510008
249	3.347628451
250	3.344471709
251	3.340973888
252	3.339503555
253	3.336336653
254	3.332367368
255	3.328748526
256	3.325983791
257	3.323223296
258	3.320154718
259	3.316851157
260	3.313654336
261	3.311442406
262	3.308153578
263	3.305302939
264	3.30157973
265	3.299200369
266	3.295807443
267	3.293358769
268	3.291434052
269	3.291054914
270	3.289515552
271	3.286433808
272	3.284684639
273	3.28193984
274	3.281510323
275	3.279118542
276	3.276424805
277	3.272716124
278	3.269055393
279	3.26704114
280	3.264438175
281	3.263106717
282	3.261571008
283	3.258244992
284	3.253860351
285	3.253001712
286	3.249581964
287	3.248358969
288	3.245910445
289	3.243983773
290	3.239889803
291	3.237176421
292	3.234731755
293	3.230478401
294	3.228307388
295	3.225322083
296	3.222507074
297	3.220333361
298	3.219968891
299	3.21879102
300	3.215677454
301	3.212639706
302	3.212289901
303	3.210130672
304	3.208943909
305	3.207021883
306	3.204125205
307	3.201005205
308	3.199393116
309	3.197785981
310	3.196675117
311	3.193775398
312	3.19143746
313	3.189428094
314	3.189102956
315	3.188811868
316	3.186995072
317	3.183495861
318	3.181716724
319	3.180512348
320	3.179803845
321	3.176407611
322	3.171767564
323	3.168574832
324	3.166206253
325	3.165953635
326	3.164390232
327	3.16211073
328	3.159995947
329	3.156551617
330	3.152068463
331	3.149654286
332	3.148901451
333	3.146665164
334	3.144483668
335	3.139433907
336	3.13752416
337	3.135677452
338	3.132727501
339	3.130001758
340	3.127479003
341	3.125087117
342	3.122448363
343	3.118877498
344	3.11492089
345	3.112162529
346	3.107627979
347	3.10487548
348	3.102587058
349	3.10032179
350	3.097330428
351	3.097155486
352	3.093349139
353	3.091069034
354	3.087708452
355	3.084770049
356	3.084010782
357	3.080901425
358	3.078830186
359	3.076461165
360	3.074553795
361	3.072485361
362	3.069840916
363	3.067184079
364	3.065281309
365	3.065117345
366	3.062775203
367	3.060822658
368	3.058842415
369	3.056200185
370	3.052521211
371	3.051030856
372	3.048701674
373	3.046592408
