iter	Passed	Remaining
0	645	644816
1	1142	570177
2	1675	556822
3	2138	532599
4	2602	517981
5	3064	507725
6	3471	492460
7	3814	473012
8	4147	456731
9	4484	443993
10	4820	433368
11	5156	424533
12	5491	416950
13	5827	410440
14	6170	405227
15	6510	400392
16	6847	395951
17	7215	393623
18	7611	392983
19	7994	391746
20	8432	393133
21	8884	394962
22	9312	395578
23	9760	396946
24	10157	396147
25	10532	394579
26	10876	391973
27	11221	389563
28	11567	387312
29	11892	384526
30	12241	382638
31	12600	381156
32	12935	379037
33	13287	377514
34	13623	375628
35	13998	374837
36	14382	374321
37	14776	374083
38	15201	374571
39	15646	375519
40	16069	375873
41	16491	376155
42	16913	376423
43	17316	376242
44	17678	375176
45	18024	373816
46	18363	372339
47	18707	371037
48	19055	369837
49	19391	368443
50	19725	367042
51	20056	365653
52	20400	364512
53	20749	363505
54	21132	363093
55	21538	363079
56	21936	362915
57	22348	362965
58	22779	363314
59	23213	363682
60	23611	363469
61	24029	363541
62	24444	363564
63	24783	362453
64	25135	361564
65	25475	360515
66	25799	359265
67	26169	358676
68	26503	357607
69	26824	356377
70	27147	355215
71	27507	354540
72	27893	354211
73	28290	354011
74	28668	353580
75	29089	353671
76	29439	352894
77	29894	353363
78	30299	353240
79	30717	353251
80	31124	353126
81	31506	352723
82	31844	351821
83	32149	350586
84	32504	349897
85	32864	349285
86	33179	348193
87	33519	347381
88	33850	346488
89	34216	345962
90	34591	345535
91	34958	345022
92	35340	344665
93	35712	344206
94	36053	343453
95	36409	342855
96	36809	342665
97	37244	342799
98	37648	342641
99	38038	342349
100	38448	342226
101	38782	341439
102	39119	340685
103	39455	339922
104	39798	339234
105	40117	338345
106	40451	337596
107	40804	337015
108	41186	336671
109	41579	336414
110	41940	335904
111	42336	335670
112	42684	335058
113	43014	334302
114	43380	333839
115	43819	333934
116	44239	333873
117	44619	333509
118	45065	333637
119	45448	333289
120	45785	332608
121	46110	331845
122	46444	331152
123	46763	330364
124	47084	329591
125	47441	329080
126	47847	328905
127	48211	328438
128	48595	328111
129	48995	327889
130	49340	327302
131	49685	326721
132	50025	326108
133	50400	325723
134	50843	325776
135	51277	325764
136	51682	325562
137	52102	325450
138	52463	324969
139	52862	324726
140	53223	324245
141	53595	323838
142	53932	323217
143	54307	322826
144	54677	322408
145	55076	322157
146	55461	321829
147	55881	321694
148	56280	321441
149	56642	320975
150	56994	320450
151	57357	319991
152	57763	319778
153	58166	319539
154	58586	319388
155	58993	319171
156	59364	318754
157	59696	318128
158	60044	317595
159	60371	316948
160	60693	316285
161	61048	315793
162	61415	315368
163	61809	315077
164	62172	314631
165	62537	314194
166	62890	313697
167	63207	313026
168	63533	312405
169	63872	311846
170	64224	311355
171	64637	311160
172	65012	310781
173	65439	310649
174	65841	310393
175	66217	310020
176	66577	309564
177	66900	308946
178	67245	308426
179	67579	307862
180	67965	307534
181	68333	307123
182	68711	306762
183	69087	306387
184	69474	306062
185	69878	305812
186	70205	305225
187	70547	304705
188	70902	304243
189	71259	303788
190	71663	303538
191	72095	303401
192	72502	303159
193	72899	302871
194	73270	302475
195	73600	301910
196	73925	301332
197	74304	300971
198	74681	300602
199	75042	300168
200	75419	299800
201	75762	299298
202	76089	298735
203	76421	298192
204	76803	297846
205	77263	297802
206	77671	297553
207	78097	297371
208	78536	297237
